Wilderness_Area,Soil_Type,Cover_Type
0,29,5
0,29,5
0,12,2
0,30,2
0,29,5
0,29,2
0,29,5
0,29,5
0,29,5
0,29,5
0,18,5
0,30,2
0,30,2
0,18,5
0,18,5
0,16,5
0,29,5
0,18,5
0,18,5
0,18,5
0,18,5
0,30,2
0,30,5
0,18,5
0,18,5
0,18,5
0,18,5
0,29,2
0,12,2
0,30,5
0,30,5
0,18,5
0,18,5
0,18,5
0,18,5
0,29,2
0,30,5
0,18,5
0,30,5
0,30,5
0,20,1
0,29,2
0,18,5
0,16,5
0,12,2
0,18,5
0,18,5
0,18,5
0,18,5
0,18,5
0,30,5
0,29,1
0,30,1
0,18,5
0,18,5
0,16,1
0,18,5
0,18,5
0,18,5
0,18,5
0,18,5
0,29,2
0,12,2
0,18,5
0,18,5
0,18,5
0,18,5
0,29,1
0,12,2
0,29,2
0,30,2
0,29,2
0,29,2
0,16,2
0,29,2
0,30,2
0,30,2
0,16,2
0,12,1
0,30,2
0,20,1
0,12,2
0,29,1
0,12,1
0,18,2
0,29,1
0,29,2
0,12,2
0,12,2
0,29,2
0,18,2
0,29,2
0,30,2
0,29,2
0,29,2
0,12,1
0,29,2
0,12,2
0,16,2
0,18,2
0,29,2
0,29,2
0,29,2
0,29,1
0,18,2
0,18,2
0,20,2
0,29,2
0,29,1
0,16,2
0,29,1
0,16,1
0,12,2
0,12,2
0,18,2
0,29,1
0,29,2
0,29,1
0,18,2
0,29,1
0,12,2
0,29,2
0,29,2
0,29,2
0,29,2
0,16,2
0,12,2
0,12,2
0,29,2
0,12,2
0,24,2
0,29,2
0,24,1
0,24,2
0,16,2
0,29,2
0,24,1
0,29,1
0,29,2
0,18,2
0,29,1
0,24,2
0,12,2
0,24,2
0,20,2
0,12,2
0,24,1
0,29,2
0,20,2
0,18,2
0,29,1
0,24,1
0,12,2
0,12,2
0,29,2
0,29,2
0,29,1
0,12,2
0,18,2
0,18,2
0,29,1
0,29,1
0,29,2
0,29,2
0,29,1
0,29,1
0,29,2
0,24,2
0,23,2
0,29,1
0,30,2
0,29,1
0,29,2
0,29,2
0,29,1
0,20,1
0,29,2
0,24,2
0,20,2
0,29,1
0,29,2
0,12,2
0,29,1
0,30,2
0,29,1
0,29,1
0,29,1
0,29,2
0,18,2
0,29,1
0,29,1
0,30,2
0,12,2
0,29,1
0,12,2
0,18,2
0,29,1
0,29,2
0,12,2
0,12,2
0,24,2
0,29,1
0,29,2
0,29,1
0,29,1
0,20,2
0,20,1
0,29,2
0,30,2
0,12,2
0,29,1
0,29,2
0,24,2
0,24,2
0,24,2
0,40,1
0,16,1
0,23,1
0,29,1
0,29,2
0,29,2
0,29,2
0,16,1
0,29,2
0,12,1
0,12,2
0,29,2
0,29,2
0,12,1
0,30,2
0,29,2
0,23,1
0,29,2
0,12,2
0,12,2
0,29,2
0,23,1
0,23,1
0,29,2
0,29,2
0,24,2
0,29,2
0,40,1
0,12,2
0,29,1
0,29,2
0,29,1
0,29,2
0,12,2
0,12,2
0,20,2
0,19,1
0,23,1
0,29,2
0,30,2
0,29,2
0,12,2
0,23,1
0,29,2
0,29,2
0,23,1
0,20,1
0,29,2
0,19,1
0,29,2
0,29,1
0,29,2
0,30,2
0,12,1
0,29,2
0,29,1
0,20,2
0,20,2
0,12,2
0,12,2
0,23,2
0,30,2
0,30,2
0,30,2
0,29,2
0,29,2
0,12,2
0,20,2
0,29,1
0,29,1
0,23,2
0,20,1
0,29,1
0,20,2
0,12,2
0,12,2
0,12,2
0,29,1
0,20,2
0,12,2
0,30,2
0,23,2
0,12,1
0,29,1
0,23,1
0,29,2
